Title,Authors,Topics,Abstract,Code,Dataset,PDF,Paper Page
3D Spine Shape Estimation from Single 2D DXA,"Bourigault, Emmanuelle;Jamaludin, Amir;Zisserman, Andrew","Computer Aided Diagnosis, Treatment Response, and Outcome Prediction; Imaging-related Clinical Studies","Scoliosis is currently assessed solely on 2D lateral deviations, but recent studies have also revealed the importance of other imaging planes in understanding the deformation of the spine. Consequently, extracting the spinal geometry in 3D would help quantify these spinal deformations and aid diagnosis. In this study, we propose an automated general framework to estimate the {\em 3D }spine shape from {\em 2D} DXA scans. We achieve this by explicitly predicting the sagittal view of the spine from the DXA scan. Using these two orthogonal projections of the spine (coronal in DXA, and sagittal from the prediction), we are able to describe the 3D shape of the spine. The prediction is learnt from over 30k paired images of DXA and MRI scans. We assess the performance of the method on a held out test set, and achieve high accuracy. Our code is available at \href{https://github.com/EmmanuelleB985/DXA_to_3D}{https://github.com/EmmanuelleB985/DXA-to-3D.}",https://github.com/EmmanuelleB985/DXA-to-3D,https://www.ukbiobank.ac.uk/,https://papers.miccai.org/miccai-2024/paper/1861_paper.pdf,https://papers.miccai.org/miccai-2024/001-Paper1861.html
3D Vessel Graph Generation Using Denoising Diffusion,"Prabhakar, Chinmay;Shit, Suprosanna;Musio, Fabio;Yang, Kaiyuan;Amiranashvili, Tamaz;Paetzold, Johannes C.;Li, Hongwei Bran;Menze, Bjoern",Clinical applications - Vascular; Machine Learning - Other; Modalities - MRI,"Blood vessel networks, represented as 3D graphs, help predict disease biomarkers, simulate blood flow, and aid in synthetic image generation, relevant in both clinical and pre-clinical settings. However, generating realistic vessel graphs that correspond to an anatomy of interest is challenging. Previous methods aimed at generating vessel trees mostly in an autoregressive style and could not be applied to vessel graphs with cycles such as capillaries or specific anatomical structures such as the Circle of Willis. Addressing this gap, we introduce the first application of \textit{denoising diffusion models} in 3D vessel graph generation. Our contributions include a novel, two-stage generation method that sequentially denoises node coordinates and edges. We experiment with two real-world vessel datasets, consisting of microscopic capillaries and major cerebral vessels, and demonstrate the generalizability of our method for producing diverse, novel, and anatomically plausible vessel graphs.",https://github.com/chinmay5/vessel_diffuse,,https://papers.miccai.org/miccai-2024/paper/1908_paper.pdf,https://papers.miccai.org/miccai-2024/002-Paper1908.html
3DDX: Bone Surface Reconstruction from a Single Standard-Geometry Radiograph via Dual-Face Depth Estimation,"Gu, Yi;Otake, Yoshito;Uemura, Keisuke;Takao, Masaki;Soufi, Mazen;Okada, Seiji;Sugano, Nobuhiko;Talbot, Hugues;Sato, Yoshinobu",Image Formation and Reconstruction; Modalities - CT; Modalities - other,"Radiography is widely used in orthopedics for its affordability and low radiation exposure. 3D reconstruction from a single radiograph, so-called 2D-3D reconstruction, offers the possibility of various clinical applications, but achieving clinically viable accuracy and computational efficiency is still an unsolved challenge. Unlike other areas in computer vision, X-ray imaging’s unique properties, such as ray penetration and standard geometry, have not been fully exploited. We propose a novel approach that simultaneously learns multiple depth maps (front and back surfaces of multiple bones) derived from the X-ray image to computed tomography (CT) registration. The proposed method not only leverages the standard geometry characteristic of X-ray imaging but also enhances the precision of the reconstruction of the whole surface. Our study involved 600 CT and 2651 X-ray images (4 to 5 posed X-ray images per patient), demonstrating our method’s superiority over traditional approaches with a surface reconstruction error reduction from 4.78 mm to 1.96 mm and further to 1.76 mm using higher resolution and pretraining. This significant accuracy improvement and enhanced computational efficiency suggest our approach’s potential for clinical application.",https://github.com/Kayaba-Akihiko/3DDX,,https://papers.miccai.org/miccai-2024/paper/1001_paper.pdf,https://papers.miccai.org/miccai-2024/003-Paper1001.html
3DGPS: A 3D Differentiable-Gaussian-based Planning Strategy for Liver Tumor Cryoablation,"Wang, Ce;Huang, Xiaoyu;Kong, Yaqing;Li, Qian;Hao, You;Zhou, Xiang",Surgical Planning and Simulation; Image-Guided Interventions and Surgery; Modalities - CT,"Effective preoperative planning is crucial for successful cryoablation of liver tumors. However, conventional planning methods rely heavily on clinicians’ experience, which may not always lead to an optimal solution due to the intricate 3D anatomical structures and clinical constraints. Lots of planning methods have been proposed, but lack interactivity between multiple probes and are difficult to adapt to diverse clinical scenarios. To bridge the gap, we present a novel 3D Differentiable-Gaussian-based Planning Strategy (3DGPS) for cryoablation of liver tumor considering both the probe interactivity and several clinical constraints. Especially, the problem is formulated to search the minimal circumscribed tumor ablation region, which is generated by multiple 3D ellipsoids, each from one cryoprobe. These ellipsoids are parameterized by the differentiable Gaussians and optimized mainly within two stages, fitting and circumscribing, with formulated clinical constraints in an end-to-end manner. Quantitative and qualitative experiments on LiTS and in-house datasets verify the effectiveness of 3DGPS.",,,https://papers.miccai.org/miccai-2024/paper/0132_paper.pdf,https://papers.miccai.org/miccai-2024/004-Paper0132.html
3DGR-CAR: Coronary artery reconstruction from ultra-sparse 2D X-ray views with a 3D Gaussians representation,"Fu, Xueming;Li, Yingtai;Tang, Fenghe;Li, Jun;Zhao, Mingyue;Teng, Gao-Jun;Zhou, S. Kevin",Clinical applications - Vascular; Image Formation and Reconstruction; Modalities - CT,"Reconstructing 3D coronary arteries is important for coronary artery disease diagnosis, treatment planning and operation navigation. Traditional techniques often require many projections, while reconstruction from sparse-view X-ray projections is a potential way of reducing radiation dose. However, the extreme sparsity of coronary artery volume and ultra-limited number of projections pose significant challenges for efficient and accurate 3D reconstruction. We propose 3DGR-CAR, a 3D Gaussian Representation for Coronary Artery Reconstruction from ultra-sparse X-ray projections. We leverage 3D Gaussian representation to avoid the inefficiency caused by the extreme sparsity of coronary artery data, and propose a Gaussian center predictor to overcome the noisy gaussian initialization from ultra-sparse view projections. The proposed scheme enables fast and accurate 3D coronary arteries reconstruction with only 2 views. Experimental results on two datasets indicate that the proposed approach significantly outperforms other methods in terms of voxel accuracy and visual quality of coronary artery.",https://github.com/windrise/3DGR-CAR,https://asoca.grand-challenge.org;https://github.com/XiaoweiXu/ImageCAS-A-Large-Scale-Dataset-and-Benchmark-for-Coronary-Artery-Segmentation-based-on-CT,https://papers.miccai.org/miccai-2024/paper/1015_paper.pdf,https://papers.miccai.org/miccai-2024/005-Paper1015.html
3DPX: Progressive 2D-to-3D Oral Image Reconstruction with Hybrid MLP-CNN Networks,"Li, Xiaoshuang;Meng, Mingyuan;Huang, Zimo;Bi, Lei;Delamare, Eduardo;Feng, Dagan;Sheng, Bin;Kim, Jinman",Image Formation and Reconstruction; Visualization in Biomedical Imaging,"Panoramic X-ray (PX) is a prevalent modality in dental practice for its wide availability and low cost. However, as a 2D projection image, PX does not contain 3D anatomical information, and therefore has limited use in dental applications that can benefit from 3D information, e.g., tooth angular misalignment detection and classification. Reconstructing 3D structures directly from 2D PX has recently been explored to address limitations with existing methods primarily reliant on Convolutional Neural Networks (CNNs) for direct 2D-to-3D mapping. These methods, however, are unable to correctly infer depth-axis spatial information. In addition, they are limited by the intrinsic locality of convolution operations, as the convolution kernels only capture the information of immediate neighborhood pixels. In this study, we propose a progressive hybrid Multilayer Perceptron (MLP)-CNN pyramid network (3DPX) for 2D-to-3D oral PX reconstruction. We introduce a progressive reconstruction strategy, where 3D images are progressively reconstructed in the 3DPX with guidance imposed on the intermediate reconstruction result at each pyramid level. Further, motivated by the recent advancement of MLPs that show promise in capturing fine-grained long-range dependency, our 3DPX integrates MLPs and CNNs to improve the semantic understanding during reconstruction. Extensive experiments on two large datasets involving 464 studies demonstrate that our 3DPX outperforms state-of-the-art 2D-to-3D oral reconstruction methods, including standalone MLP and transformers, in reconstruction quality, and also improves the performance of downstream angular misalignment classification tasks.",,,https://papers.miccai.org/miccai-2024/paper/2442_paper.pdf,https://papers.miccai.org/miccai-2024/006-Paper2442.html
3D-SAutoMed: Automatic Segment Anything Model for 3D Medical Image Segmentation from Local-Global Perspective,"Liang, Junjie;Cao, Peng;Yang, Wenju;Yang, Jinzhu;Zaiane, Osmar R.",Image Segmentation; Machine Learning - Foundation Models,"3D medical image segmentation is critical for clinical diagnosis and treatment planning. Recently, with the powerful generalization, the foundational segmentation model SAM is widely used in medical images. However, the existing SAM variants still have many limitations including lack of 3D-aware ability and automatic prompts. To address these limitations, we present a novel SAM-based segmentation framework in 3D medical images, namely 3D-SAutoMed. We respectively propose the Inter- and Intra-slice Attention and Historical slice Information Sharing strategy to share local and global information, so as to enable SAM to be 3D-aware. Meanwhile, we propose a Box Prompt Generator to automatically generate prompt embedding, leading full-automation in SAM. Our results demonstrate that 3D-SAutoMed outperforms advanced universal methods and SAM variants on both metrics and across BTCV, CHAOS and SegTHOR datasets. Particularly, a large improvement of HD score is achieved, e.g. 44% and 20.7% improvement compared with the best result in the other SAM variants on the BTCV and SegTHOR dataset, respectively.",,,https://papers.miccai.org/miccai-2024/paper/2090_paper.pdf,https://papers.miccai.org/miccai-2024/007-Paper2090.html
7T MRI Synthesization from 3T Acquisitions,"Cui, Qiming;Tosun, Duygu;Mukherjee, Pratik;Abbasi-Asl, Reza",Machine Learning - Other; Clinical applications - Neuroimaging - Others; Modalities - MRI,"Supervised deep learning techniques can be used to generate synthetic 7T MRIs from 3T MRI inputs. This image enhancement process leverages the advantages of ultra-high-field MRI to improve the signal-to-noise and contrast-to-noise ratios of 3T acquisitions. In this paper, we introduce multiple novel 7T synthesization algorithms based on custom-designed variants of the V-Net convolutional neural network. We demonstrate that the V-Net based model has superior performance in enhancing both single-site and multi-site MRI datasets compared to the existing benchmark model. When trained on 3T-7T MRI pairs from 8 subjects with mild Traumatic Brain Injury (TBI), our model achieves state-of-the-art 7T synthesization performance. Compared to previous works, synthetic 7T images generated from our pipeline also display superior enhancement of pathological tissue. Additionally, we implement and test a data augmentation scheme for training models that are robust to variations in the input distribution. This allows synthetic 7T models to accommodate intra-scanner and inter-scanner variability in multisite datasets. On a harmonized dataset consisting of 18 3T-7T MRI pairs from two institutions, including both healthy subjects and those with mild TBI, our model maintains its performance and can generalize to 3T MRI inputs with lower resolution. Our findings demonstrate the promise of V-Net based models for MRI enhancement and offer a preliminary probe into improving the generalizability of synthetic 7T models with data augmentation.",https://github.com/abbasilab/Synthetic_7T_MRI,,https://papers.miccai.org/miccai-2024/paper/3648_paper.pdf,https://papers.miccai.org/miccai-2024/008-Paper3648.html
A Bayesian Approach to Weakly-supervised Laparoscopic Image Segmentation,"Zheng, Zhou;Hayashi, Yuichiro;Oda, Masahiro;Kitasaka, Takayuki;Mori, Kensaku",Modalities - Endoscope; Image Segmentation; Machine Learning - Semi-/Weakly-/Un-/Self-supervised Representation Learning,"In this paper, we study weakly-supervised laparoscopic image segmentation with sparse annotations. We introduce a novel Bayesian deep learning approach designed to enhance both the accuracy and interpretability of the model’s segmentation, founded upon a comprehensive Bayesian framework, ensuring a robust and theoretically validated method. Our approach diverges from conventional methods that directly train using observed images and their corresponding weak annotations. Instead, we estimate the joint distribution of both images and labels given the acquired data. This facilitates the sampling of images and their high-quality pseudo-labels, enabling the training of a generalizable segmentation model. Each component of our model is expressed through probabilistic formulations, providing a coherent and interpretable structure. This probabilistic nature benefits accurate and practical learning from sparse annotations and equips our model with the ability to quantify uncertainty. Extensive evaluations with two public laparoscopic datasets demonstrated the efficacy of our method, which consistently outperformed existing methods. Furthermore, our method was adapted for scribble-supervised cardiac multi-structure segmentation, presenting competitive performance compared to previous methods. The code is available at https://github.com/MoriLabNU/Bayesian_WSS.",https://github.com/MoriLabNU/Bayesian_WSS,https://www.kaggle.com/datasets/newslab/cholecseg8k;https://autolaparo.github.io;https://www.creatis.insa-lyon.fr/Challenge/acdc;https://vios-s.github.io/multiscale-adversarial-attention-gates,https://papers.miccai.org/miccai-2024/paper/0219_paper.pdf,https://papers.miccai.org/miccai-2024/009-Paper0219.html
A Clinical-oriented Lightweight Network for High-resolution Medical Image Enhancement,"Wang, Yaqi;Chen, Leqi;Hou, Qingshan;Cao, Peng;Yang, Jinzhu;Liu, Xiaoli;Zaiane, Osmar R.",Imaging-related Clinical Studies; Image Formation and Reconstruction; Machine Learning - Interpretability / Explainability,"Medical images captured in less-than-optimal conditions may suffer from quality degradation, such as blur, artifacts, and low lighting, which potentially leads to misdiagnosis. Unfortunately, state-of-the-art medical image enhancement methods face challenges in both high-resolution image quality enhancement and local distinct anatomical structure preservation. To address these issues, we propose a Clinical-oriented High-resolution Lightweight Medical Image Enhancement Network, termed CHLNet, which proficiently addresses high-resolution medical image enhancement, detailed pathological characteristics, and lightweight network design simultaneously. More specifically, CHLNet comprises two main components: 1) High-resolution Assisted Quality Enhancement Network for removing global low-quality factors in high-resolution images thus enhancing overall image quality; 2) High-quality-semantic Guided Quality Enhancement Network for capturing semantic knowledge from high-quality images such that detailed structure preservation is enforced. Moreover, thanks to its lightweight design, CHLNet can be easily deployed on medical edge devices. Extensive experiments on three public medical image datasets demonstrate the effectiveness and superiority of CHLNet over the state-of-the-art.",,,https://papers.miccai.org/miccai-2024/paper/2774_paper.pdf,https://papers.miccai.org/miccai-2024/010-Paper2774.html
