Title,Authors,Session,Keywords,TL;DR,Abstract,Community Implementations,PDF,Paper Page
4D-VQ-GAN: A World Model for Synthesizing Medical Scans at Any Time Point for Personalized Disease Progression Modeling of Idiopathic Pulmonary Fibrosis,An Zhao;Moucheng Xu;Ahmed H. Shahin;Wim Wuyts;Mark G. Jones;Joseph Jacob;Daniel C. Alexander,Oral,4D image synthesis;World Models;VQ-GAN;neural ODEs;spatial-temporal disease progression modelling;CT;IPF,,"Understanding the progression trajectories of diseases is crucial for early diagnosis and effective treatment planning. This is especially vital for life-threatening conditions such as Idiopathic Pulmonary Fibrosis (IPF), a chronic, progressive lung disease with a prognosis comparable to many cancers. Computed tomography (CT) imaging has been established as a reliable diagnostic tool for IPF. Accurately predicting future CT scans of early-stage IPF patients can aid in developing better treatment strategies, thereby improving survival outcomes. 

As inspired by the recent success of world models in generating video-based virtual physical worlds, we present the first world model for IPF, to synthesize realistic scans of early-stage IPF patients at any time point. We term our model 4D Vector Quantised Generative Adversarial Networks (4D-VQ-GAN). Our model is trained using a two-stage approach. In the first stage, a 3D-VQ-GAN is trained to reconstruct CT volumes. In the second stage, a Neural Ordinary Differential Equation (ODE) model is trained to capture the temporal dynamics of the quantised embeddings, which are generated by the encoder trained in the first stage. For clinical validation, we conduct survival analysis using imaging biomarkers derived from generated CT scans and achieve a C-index either better than or comparable to that of biomarkers derived from the real CT scans. The survival analysis results suggest the potential clinical utility inherent to generated longitudinal CT scans, showing that they can reliably predict survival outcomes. The code is publicly available at https://github.com/anzhao920/4DVQGAN.",,https://openreview.net/pdf/457ff1a48b63a5f82a02b2dff5ec90ec7956377c.pdf,https://openreview.net/forum?id=tU3IpPQCEc
A knowledge-based method for detecting network-induced shape artifacts in synthetic images,Rucha Deshpande;Miguel Lago;Adarsh Subbaswamy;Seyed Kahaki;Jana G Delfino;Aldo Badano;Ghada Zamzmi,Oral,synthetic data evaluation;network-induced artifacts;mammography,We propose a knowledge-based method to detect network-induced shape artifacts in synthetic images and demonstrate its use on synthetic mammography images.,"The adoption of synthetic medical images for training or testing without thorough quality assessment risks introducing artifacts and unrealistic features that can mislead machine learning models and compromise clinical utility. This work introduces a novel knowledge-based method for detecting network-induced shape artifacts in synthetic images. The method can identify anatomically unrealistic images, detect shape artifacts irrespective of the generative model, and offer interpretability through its knowledge-driven design. We validated the method using two synthetic mammography datasets and demonstrated its effectiveness in flagging images with network-induced artifacts. A reader study further confirmed these findings and showed that the most anomalous images identified by the method were also flagged by human readers. This method provides a step toward the responsible use of synthetic data by ensuring synthetic images align with realistic morphological and anatomical constraints.",,https://openreview.net/pdf/15ac31794792fb0106d4a1ae694cbf1fa8df076d.pdf,https://openreview.net/forum?id=BAEwCzDmPB
Anatomy-Guided Multi-Path CycleGAN for Lung CT Kernel Harmonization,Aravind Krishnan;Thomas Li;Lucas Walker Remedios;Kaiwen Xu;Lianrui Zuo;Kim L. Sandler;Fabien Maldonado;Bennett Allan Landman,Oral,cycleGAN;harmonization;CT;emphysema;synthesis,We use TotalSegmentator labels to guide a multipath cycleGAN model for kernel harmonization that improves quantitative measures and mitigates anatomical hallucinations,"Accurate quantitative measurement in lung computed tomography (CT) imaging often relies on consistent kernel reconstruction across scanners and manufacturers. Harmonization can reduce measurement variability caused by heterogeneous reconstruction kernels; however, harmonization across different manufacturers and scanners remains challenging due to significant differences in reconstruction protocol and positional alignment of subjects, often resulting in anatomical hallucinations. To address this, we propose a multi-path cycleGAN framework that incorporates multi-region anatomical labels and a tissue statistic loss as anatomical regularization to preserve structural integrity during harmonization. We trained our model on 100 scans each of four representative reconstruction kernels from the National Lung Screening Trial (NLST) dataset and evaluated it on 240 withheld scans. Experimental results demonstrate superior performance of our method in both within manufacturer harmonization and cross-manufacture harmonization: Harmonizing hard-to-soft kernel images within a single manufacturer significantly reduces emphysema measurement discrepancies (p < 0.05). Across manufacturers, harmonizing all kernels to a reference soft kernel yields consistent emphysema quantification (p > 0.05) and preserves anatomical structures, as demonstrated by improved Dice similarity coefficient in skeletal muscle and subcutaneous adipose tissue between harmonized and unharmonized images. These findings demonstrate that segmentation-driven anatomical regularization effectively addresses cross-manufacturer discrepancies, ensuring robust quantitative imaging. We release our
code and model at https://github.com/MASILab/AnatomyconstrainedMultipathGAN.",,https://openreview.net/pdf/d237c54e38368444a09ba846a0fb3b1c2b8818c0.pdf,https://openreview.net/forum?id=w3p7GddsQ8
BinaryFormer: 1-bit self-attention for long-range transformers in medical image segmentation and 3D diffusion models,Mattias P Heinrich,Oral,self-attention;differentiable binarisation;diffusion;energy efficiency,A differentiable binarisation scheme for 1-bit training and inference of self-attention for very long sequences is proposed and evaluated.,"Vision transformers excel at capturing long-range interactions and have become essential for many medical image analysis tasks. Their computational cost, however, grows quadratically with sequence length - which is problematic for certain 3D problems, e.g.  high-resolution diffusion models that require dozens of sampling steps. Flash attention addressed some limitations by optimising local memory access, but left the computational burden high. Quantising weights and activations for convolutions and fully binary networks are possible, but have to be trained at higher precision and often resulted in performance drops. For transformers recent studies have been limited to quantising weights in linear layers or exploiting the potential of sparsity in self-attention scores. 

We present a novel scheme that not only enables a binary precision computation of the self-attention at inference time but also extends this to the training of transformers. To achieve differentiability we combine the bitwise Hamming distance with a learnable scalar query and key weighting. In theory this yields a 16-32x more resource-efficiency in arithmetic operations and memory bandwidth. We evaluate our model on three tasks with sequence lengths of N>1000: classification of images without patch-embedding, semantic 2D MRI segmentation and 3D high-resolution diffusion models for inpainting and synthesis. Our results demonstrate competitive performance and we provide an intuitive reasoning for the effectiveness of differentiable key-, query- weighting through Bernoulli sampling and distance interpolation. https://github.com/mattiaspaul/BinaryFormer",,https://openreview.net/pdf/514929a0fde461b9dd6433b0861c6665d017cc01.pdf,https://openreview.net/forum?id=pkWDVfOW9K
Can Diffusion Models Generalize? Privacy and Fairness Trade-offs for Medical Data Sharing.,Mischa Dombrowski;Bernhard Kainz,Oral,Privacy;Fairness;Image Generation,Use prior knowledge to quanitfy fairness and privacy in diffusion models,"The recent surge in options for diffusion model-based synthetic data sharing offers significant benefits for medical research, provided privacy and fairness concerns are addressed.
Generative models risk memorizing sensitive training samples, potentially exposing identifiable information.
Simultaneously, underrepresented features -- such as rare diseases, uncommon medical devices, or infrequent patient ethnicities -- are often not learned well, creating unfair biases in downstream applications.
Our work unifies these challenges by leveraging artificially generated fingerprints (SAFs) in the training data as a controllable test for memorization and fairness.
Specifically, we measure whether a diffusion model reproduces these fingerprints verbatim (a privacy breach) or ignores them entirely (a fairness violation) and introduce an indicator t' to quantify finished models for the likelihood of reproducing training samples.
Extensive experiments on real and synthetic medical imaging datasets reveal that na\""ive diffusion model training can lead to privacy leaks or unfair coverage.
By systematically incorporating SAFs and monitoring t', we demonstrate how to balance privacy and fairness objectives.
Our evaluation framework provides actionable guidance for designing generative models that preserve patient anonymity without excluding underrepresented patient subgroups. Code is available at https://github.com/MischaD/Privacy.",,https://openreview.net/pdf/29bea612f155fd614db0ce4afd096eefed071500.pdf,https://openreview.net/forum?id=cj10StANqJ
Capturing Longitudinal Changes in Brain Morphology Using Temporally Parameterized Neural Displacement Fields.,Aisha L. Shuaibu;Kieran A. Gibb;Peter A. Wijeratne;Ivor J A Simpson,Oral,Longitudinal image registration;spatio-temporal regularization;monotonic regularization;implicit neural representations.,"Capturing longitudinal changes in brain morphology using temporally parameterized neural displacement fields, while introducing a novel longitudinal regularization term that enforces monotonic rate of change over time.","Longitudinal image registration enables studying temporal changes in brain morphology which is useful in applications where monitoring the growth or atrophy of specific structures is important. However this task is challenging due to; noise/artifacts in the data and quantifying small anatomical changes between sequential scans. We propose a novel longitudinal registration method that models structural changes using temporally parameterized neural displacement fields. Specifically, we implement an implicit neural representation (INR) using a multi-layer perceptron that serves as a continuous coordinate-based approximation of the deformation field at any time point. In effect, for any $N$ scans of a particular subject, our model takes as input a 3D spatial coordinate location $x, y, z$ and a corresponding temporal representation $t$ and learns to describe the continuous morphology of structures for both observed and unobserved points in time. Furthermore, we leverage the analytic derivatives of the INR to derive a new regularization function that enforces monotonic rate of change in the trajectory of the voxels, which is shown to provide more biologically plausible patterns. We demonstrate the effectiveness of our method on 4D brain MR registration. Our code is publicly available  here https://github.com/aisha-lawal/inrmorph",,https://openreview.net/pdf/a320e492c0de3a17c8e1d63ba85a39ea9c8846e1.pdf,https://openreview.net/forum?id=OkAyRZDO2p
CASC-AI: Consensus-aware Self-corrective Learning for Cell Segmentation with Noisy Labels,Ruining Deng;Yihe Yang;David J Pisapia;Benjamin L Liechty;Junchao Zhu;Juming Xiong;Junlin Guo;Zhengyi Lu;Jiacheng Wang;Xing Yao;Runxuan Yu;Rendong Zhang;Gaurav Rudravaram;Mengmeng Yin;Pinaki Sarder;Haichun Yang;Yuankai Huo;Mert R. Sabuncu,Oral,Consensus matrix;Corrective Learning;Noisy label learning;Cell Segmentation,We present a consensus-aware self-corrective learning framework designed to address the challenges of cell segmentation in datasets with noisy labels.,"Multi-class cell segmentation in high-resolution gigapixel whole slide images (WSIs) is crucial for various clinical applications. However, training such models typically requires labor-intensive, pixel-wise annotations by domain experts. Recent efforts have democratized this process by involving lay annotators without medical expertise. However, conventional non-corrective approaches struggle to handle annotation noise adaptively because they lack mechanisms to mitigate false positives (FP) and false negatives (FN) at both the image-feature and pixel levels. In this paper, we propose a consensus-aware self-corrective learning that leverages the Consensus Matrix to guide its learning process. The Consensus Matrix defines regions where both the AI and annotators agree on cell and non-cell annotations, which are prioritized with stronger supervision. Conversely, areas of disagreement are adaptively weighted based on their feature similarity to high-confidence consensus regions, with more similar regions receiving greater attention. Additionally, contrastive learning is employed to separate features of noisy regions from those of reliable consensus regions by maximizing their dissimilarity. This paradigm enables the model to iteratively refine noisy labels, enhancing its robustness. Validated on one real-world lay-annotated cell dataset and two reasoning-guided simulated noisy datasets, our method demonstrates improved segmentation performance, effectively correcting FP and FN errors and showcasing its potential for training robust models on noisy datasets. The official implementation and cell annotations are publicly available at https://github.com/ddrrnn123/CASC-AI.",,https://openreview.net/pdf/6127f2076ee4f4995b18658f17f737479bc068be.pdf,https://openreview.net/forum?id=WQIK8OJVQe
Conditional Diffusion Models are Medical Image Classifiers that Provide Explainability and Uncertainty for Free,Gian Mario Favero;Parham Saremi;Emily Kaczmarek;Brennan Nichyporuk;Tal Arbel,Oral,diffusion;classification;explainability;uncertainty,,"Discriminative classifiers have become a foundational tool in deep learning for medical imaging, excelling at learning separable features of complex data distributions. However, these models often need careful design, augmentation, and training techniques to ensure safe and reliable deployment. Recently, diffusion models have become synonymous with generative modeling in 2D. These models showcase robustness across a range of tasks including natural image classification, where classification is performed by comparing reconstruction errors across images generated for each possible conditioning input. This work presents the first exploration of the potential of class conditional diffusion models for 2D medical image classification. First, we develop a novel majority voting scheme shown to improve the performance of medical diffusion classifiers. Next, extensive experiments on the CheXpert and ISIC Melanoma skin cancer datasets demonstrate that foundation and trained-from-scratch diffusion models achieve competitive performance against SOTA discriminative classifiers without the need for explicit supervision. In addition, we show that diffusion classifiers are intrinsically explainable, and can be used to quantify the uncertainty of their predictions, increasing their trustworthiness and reliability in safety-critical, clinical contexts. Further information is available on our project page: https://faverogian.github.io/med-diffusion-classifier.github.io/.",,https://openreview.net/pdf/ff3d1a1ce63741c943313452876d8f5812c35129.pdf,https://openreview.net/forum?id=3LySEy7MR3
CountXplain: Interpretable Cell Counting with Prototype-Based Density Map Estimation,Abdurahman Ali Mohammed;Wallapak Tavanapong;Catherine Fonder;Donald Sakaguchi,Oral,Biomedical Imaging;Cell Counting;Deep Learning;Density Map Estimation;Interpretability,"CountXplain, a prototype-based deep learning method, enables interpretable cell counting via density map estimation, achieving strong performance while providing visually grounded explanations validated by biologists.","Cell counting in biomedical imaging is pivotal for various clinical applications, yet the interpretability of deep learning models in this domain remains a significant challenge. We propose a novel prototype-based method for interpretable cell counting via density map estimation. Our approach integrates a prototype layer into the density estimation network, enabling the model to learn representative visual patterns for both cells and background artifacts. The learned prototypes were evaluated through a survey of biologists, who confirmed the relevance of the visual patterns identified, further validating the interpretability of the model. By generating interpretations that highlight regions in the input image most similar to each prototype, our method offers a clear understanding of how the model identifies and counts cells. Extensive experiments on two public datasets demonstrate that our method achieves interpretability without compromising counting effectiveness. This work provides researchers and clinicians with a transparent and reliable tool for cell counting, potentially increasing trust and accelerating the adoption of deep learning in critical biomedical applications. Code is available at https://github.com/NRT-D4/CountXplain.",,https://openreview.net/pdf/861ed01257d776d4eb04f62aace561d75584d4bc.pdf,https://openreview.net/forum?id=28Vb5ffnoC
DAFTED: Decoupled Asymmetric Fusion of Tabular and Echocardiographic Data for Cardiac Hypertension Diagnosis,Jérémie Stym-Popper;Nathan Painchaud;Pierre-Yves COURAND;Clément Rambour;Nicolas THOME;Olivier Bernard,Oral,Multimodal fusion;Transformers;Tabular data;echocardiography;hypertension,"We enhance cardiac hypertension diagnosis through advanced fusion of tabular and echocardiographic data, utilizing selective information sharing and asymmetric integration techniques.","Multimodal data fusion has emerged as a key approach in recent years for enhancing diagnosis and prognosis in many medical applications. With the advent of transformer-based methods, it is now possible to combine information from different modalities that provide complementary insights. However, most existing methods rely on symmetric fusion schemes, assuming equal importance for information carried by each modality—a strong assumption that may not always hold true. In this study, we propose an alternative fusion strategy based on an asymmetric scheme. Starting with a primary modality that offers the most critical information, we integrate secondary modality contributions by disentangling shared and modality-specific information. The proposed model was validated on a dataset of 239 patients for characterizing hypertension severity by fusing time series automatically extracted from echocardiographic image sequences and tabular data from patient records. Results show that our approach outperforms existing unimodal and multimodal approaches, achieving an AUC score over 90\% - a crucial benchmark for clinical use.",,https://openreview.net/pdf/3b36c8a956cac7a6c7e9a88a9d3a64356e6009c6.pdf,https://openreview.net/forum?id=ghhGImwv07
